   PPID     PID    PGID     SID TTY        TPGID STAT   UID   TIME COMMAND
   2008    2139    1772    1772 ?             -1 S     1000   0:00 /home/liupeng/下载/Clash for Windows-0.20.19-x64-linux/cfw --type=zygote --enable-crashpad --enable-crashpad
   2139    2155    1772    1772 ?             -1 S     1000   0:00 /home/liupeng/下载/Clash for Windows-0.20.19-x64-linux/cfw --type=zygote --enable-crashpad --enable-crashpad
   1602    2192    1955    1955 ?             -1 Sl    1000   0:00 /usr/libexec/gsd-printer
   1602    2278    1621    1621 ?             -1 Sl    1000   0:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
   1602    2299    2299    2299 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-xsettings
   1602    2338    2338    2338 ?             -1 Ss    1000   0:05 /usr/bin/dbus-daemon --syslog --fork --print-pid 5 --print-address 7 --config-file /usr/share/fcitx/dbus/daemon.conf
   1602    2343    2342    2342 ?             -1 SN    1000   0:00 /usr/bin/fcitx-dbus-watcher unix:abstract=/tmp/dbus-g5xYPWjMXQ,guid=b0e4574695811feacd5422c8642a8822 2338
   2123    2358    1772    1772 ?             -1 Sl    1000   0:06 /home/liupeng/下载/Clash for Windows-0.20.19-x64-linux/cfw --type=gpu-process --enable-crashpad --enable-crash-reporter=2fa648a7-8b0e-4cae-97e0-df410a8c77dd,no_channel --user-data-dir=/home/liupeng/.config/clash_win --gpu-preferences=WAAAAAAAAAAgAAAIAAAAAAAAAAAAAAAAAABgAAAAAAA4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAABAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --use-gl=angle --use-angle=swiftshader-webgl --shared-files --field-trial-handle=0,i,5446687611481224275,9201489412908902791,131072 --disable-features=OutOfBlinkCors,SpareRendererForSitePerProcess
   2008    2385    1772    1772 ?             -1 Sl    1000   0:02 /home/liupeng/下载/Clash for Windows-0.20.19-x64-linux/cfw --type=utility --utility-sub-type=network.mojom.NetworkService --lang=zh-CN --service-sandbox-type=none --enable-crashpad --enable-crash-reporter=2fa648a7-8b0e-4cae-97e0-df410a8c77dd,no_channel --user-data-dir=/home/liupeng/.config/clash_win --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,5446687611481224275,9201489412908902791,131072 --disable-features=OutOfBlinkCors,SpareRendererForSitePerProcess --enable-crashpad
   2008    2388    1772    1772 ?             -1 Sl    1000   0:47 /home/liupeng/下载/Clash for Windows-0.20.19-x64-linux/cfw --type=renderer --enable-crashpad --enable-crash-reporter=2fa648a7-8b0e-4cae-97e0-df410a8c77dd,no_channel --user-data-dir=/home/liupeng/.config/clash_win --app-path=/home/liupeng/下载/Clash for Windows-0.20.19-x64-linux/resources/app.asar --no-sandbox --no-zygote --disable-gpu-compositing --lang=zh-CN --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=4 --launch-time-ticks=18435606 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,5446687611481224275,9201489412908902791,131072 --disable-features=OutOfBlinkCors,SpareRendererForSitePerProcess --enable-crashpad
   1602    2457    2456    2456 ?             -1 Sl    1000   0:03 /opt/sogoupinyin/files/bin/sogoupinyin-watchdog
   1602    2492    2491    2491 ?             -1 Sl    1000   0:23 /opt/sogoupinyin/files/bin/sogoupinyin-service
      1    2512    2512    2512 ?             -1 Ssl      0   0:00 /usr/libexec/fwupd/fwupd
   2388    2528    1772    1772 ?             -1 Sl    1000   0:23 /home/liupeng/下载/Clash for Windows-0.20.19-x64-linux/resources/static/files/linux/x64/clash-linux
   1602    2552    2552    2552 ?             -1 Ss    1000   0:00 /snap/snapd-desktop-integration/57/usr/bin/snapd-desktop-integration
   2552    2629    2552    2552 ?             -1 Sl    1000   0:00 /snap/snapd-desktop-integration/57/usr/bin/snapd-desktop-integration
   1602    3677    1621    1621 ?             -1 Sl    1000   0:00 /usr/bin/snap userd
   1772    4473    1772    1772 ?             -1 Sl    1000   0:00 update-notifier
   1602    4474    4474    4474 ?             -1 Ssl   1000   0:00 /usr/libexec/gvfsd-metadata
      2    5594       0       0 ?             -1 I<       0   0:19 [kworker/u33:0-hci0]
      2    7801       0       0 ?             -1 I<       0   0:13 [kworker/u33:3-hci0]
   1602    8036    8036    8036 ?             -1 Ss    1000   0:00 /usr/lib/bluetooth/obexd
      2    8041       0       0 ?             -1 I        0   0:00 [kworker/13:0-cgroup_destroy]
      2    8046       0       0 ?             -1 I        0   0:00 [kworker/11:0-mm_percpu_wq]
   1627    8852    1627    1627 ?             -1 Sl    1000   0:00 /usr/libexec/gvfsd-network --spawner :1.2 /org/gtk/gvfs/exec_spaw/1
   1627    8864    1627    1627 ?             -1 Sl    1000   0:00 /usr/libexec/gvfsd-dnssd --spawner :1.2 /org/gtk/gvfs/exec_spaw/3
   1790   10900    1790    1790 ?             -1 SLl   1000   1:34 /opt/google/chrome/chrome
  10900   10906    1790    1790 ?             -1 S     1000   0:00 cat
  10900   10907    1790    1790 ?             -1 S     1000   0:00 cat
